                       2016         2017         2018         2019  \
GDP                  -0.000       -0.000       -0.000       -0.000   
Consumption           0.000        0.000       -0.000       -0.000   
Investment           -0.002       -0.001       -0.001       -0.001   
Hours Worked         -0.001       -0.001       -0.000       -0.000   
Wages                 0.000        0.000        0.000        0.000   
Interest Rates       -0.001       -0.001       -0.000       -0.000   
Total Taxes           0.005        0.005        0.005        0.005   

                       2020         2021         2022         2023  \
GDP                  -0.000       -0.000       -0.000       -0.000   
Consumption          -0.000       -0.000       -0.000       -0.000   
Investment           -0.001       -0.001       -0.001       -0.001   
Hours Worked         -0.000       -0.000       -0.000       -0.000   
Wages                 0.000       -0.000       -0.000       -0.000   
Interest Rates       -0.000        0.000        0.000        0.000   
Total Taxes           0.005        0.004        0.004        0.004   

                       2024         2025    2016-2025  Steady State  
GDP                  -0.000       -0.000       -0.000        -0.001  
Consumption          -0.000       -0.000       -0.000        -0.000  
Investment           -0.001       -0.001       -0.001        -0.001  
Hours Worked         -0.000       -0.000       -0.000        -0.000  
Wages                -0.000       -0.000        0.000        -0.000  
Interest Rates        0.000        0.000       -0.000         0.001  
Total Taxes           0.004        0.004        0.005         0.004  
