"Page: 121  March 12, 2015"
""
"L.216 Other Loans and Advances"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"All sectors; other loans and advances; liability","    1762.8","    1767.7","    1819.8","    1935.1","    2072.0","    1896.8","    1935.1","    1953.9","    1994.7","    2020.2","    2072.0","    1",
"Federal government; U.S. government loans; asset","     179.0","     183.8","     186.3","     193.5","     196.1","     192.9","     193.5","     195.3","     196.2","     196.0","     196.1","    2",
"Households and nonprofit organizations; U.S. government loans; liability","      11.6","      11.2","      11.0","      12.1","      13.3","      11.6","      12.1","      11.9","      13.2","      12.8","      13.3","    3",
"Nonfinancial corporate business; U.S. government loans, including loans to automakers; liability","      70.6","      70.1","      75.3","      76.2","      74.7","      76.2","      76.2","      77.5","      75.1","      75.0","      74.7","    4",
"Nonfinancial noncorporate business; U.S. government loans; liability","      53.0","      55.9","      56.5","      58.5","      57.3","      58.3","      58.5","      58.0","      58.6","      58.5","      57.3","    5",
"State and local governments, excluding employee retirement funds; U.S. government loans; liability","      14.4","      15.3","      15.7","      16.2","      16.6","      16.1","      16.2","      16.3","      16.4","      16.5","      16.6","    6",
"Government-sponsored enterprises; U.S. government loans to Sallie Mae; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    7",
"Federal government; loans to finance companies (Chrysler Financial); asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    8",
"Funding corporations; U.S. government loans to TALF LLC and loans made under PPIP; liability","       9.2","       9.8","       3.0","       2.4","       2.4","       2.4","       2.4","       2.4","       2.4","       2.4","       2.4","    9",
"Rest of the world; U.S. government loans including capital subscriptions and contributions to international financial institutions, excluding IMF; liability","      72.5","      76.4","      82.0","      87.7","      95.3","      87.9","      87.7","      88.8","      91.8","      92.5","      95.3","   10",
"Rest of the world; U.S. nonfinancial business loans; asset","     162.3","     196.1","     143.9","     140.4","     169.2","     138.9","     140.4","     151.8","     158.3","     159.7","     169.2","   11",
"Rest of the world; U.S. nonfinancial business loans; asset","     162.3","     196.1","     143.9","     140.4","     169.2","     138.9","     140.4","     151.8","     158.3","     159.7","     169.2","   12",
"U.S.-chartered depository institutions; customers' liability on acceptances; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   13",
"Foreign banking offices in the U.S.; customers' liability on acceptances; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   14",
"Nonfinancial corporate business; customers' liability on acceptances outstanding to commercial banking; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   15",
"Rest of the world; customers' liablity on acceptances outstanding to commercial banking; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   16",
"Holding companies; other loans and advances; asset","      18.9","      22.9","     105.3","      75.7","      64.8","     100.5","      75.7","      73.0","      64.1","      63.8","      64.8","   17",
"Holding companies; other loans and advances due from U.S. addressees; asset","      18.9","      22.9","      99.3","      71.7","      61.6","      96.6","      71.7","      70.0","      61.2","      61.3","      61.6","   18",
"Holding companies; other loans and advances due from foreign addressees; asset","       0.0","       0.0","       6.1","       4.0","       3.2","       3.9","       4.0","       3.0","       2.9","       2.5","       3.2","   19",
"Households and nonprofit organizations; policy loans; liability","     124.5","     126.9","     128.3","     129.2","     130.5","     129.3","     129.2","     129.1","     129.4","     130.2","     130.5","   20",
"Federal government; policy loans; asset","       0.5","       0.5","       0.4","       0.4","       0.3","       0.4","       0.4","       0.4","       0.4","       0.3","       0.3","   21",
"Life insurance companies; policy loans; asset","     124.0","     126.5","     127.8","     128.8","     130.1","     128.9","     128.8","     128.8","     129.1","     129.9","     130.1","   22",
