Codes:,Corporate general partners,Corporate limited partners,Individual general partners,Individual limited partners,Partnership general partners,Partnership limited partners,Tax-exempt organization general partners,Tax-exempt organization limited partners,Nominee and other general partners,Nominee and other limited partners
111331,4200851.25253,3907783.70479,14295878.8951,10537021.9079,4866523.78677,297396.001487,39900.2929558,-84506.8025186,-493945.570137,5565810.08933
111332,4200851.25253,3907783.70479,14295878.8951,10537021.9079,4866523.78677,297396.001487,39900.2929558,-84506.8025186,-493945.570137,5565810.08933
111333,4200851.25253,3907783.70479,14295878.8951,10537021.9079,4866523.78677,297396.001487,39900.2929558,-84506.8025186,-493945.570137,5565810.08933
111334,4200851.25253,3907783.70479,14295878.8951,10537021.9079,4866523.78677,297396.001487,39900.2929558,-84506.8025186,-493945.570137,5565810.08933
111335,4200851.25253,3907783.70479,14295878.8951,10537021.9079,4866523.78677,297396.001487,39900.2929558,-84506.8025186,-493945.570137,5565810.08933
111336,4200851.25253,3907783.70479,14295878.8951,10537021.9079,4866523.78677,297396.001487,39900.2929558,-84506.8025186,-493945.570137,5565810.08933
111339,4200851.25253,3907783.70479,14295878.8951,10537021.9079,4866523.78677,297396.001487,39900.2929558,-84506.8025186,-493945.570137,5565810.08933
1114,88217876.3031,82063457.8007,300213456.798,221277460.065,102196999.522,6245316.03122,837906.152072,-1774642.85289,-10372856.9729,116882011.876
11141,44108938.1516,41031728.9003,150106728.399,110638730.033,51098499.7611,3122658.01561,418953.076036,-887321.426445,-5186428.48644,58441005.938
111411,22054469.0758,20515864.4502,75053364.1995,55319365.0164,25549249.8806,1561329.00781,209476.538018,-443660.713223,-2593214.24322,29220502.969
111419,22054469.0758,20515864.4502,75053364.1995,55319365.0164,25549249.8806,1561329.00781,209476.538018,-443660.713223,-2593214.24322,29220502.969
11142,44108938.1516,41031728.9003,150106728.399,110638730.033,51098499.7611,3122658.01561,418953.076036,-887321.426445,-5186428.48644,58441005.938
111421,22054469.0758,20515864.4502,75053364.1995,55319365.0164,25549249.8806,1561329.00781,209476.538018,-443660.713223,-2593214.24322,29220502.969
111422,22054469.0758,20515864.4502,75053364.1995,55319365.0164,25549249.8806,1561329.00781,209476.538018,-443660.713223,-2593214.24322,29220502.969
1119,88217876.3031,82063457.8007,300213456.798,221277460.065,102196999.522,6245316.03122,837906.152072,-1774642.85289,-10372856.9729,116882011.876
11191,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
111910,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
11192,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
111920,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
11193,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
111930,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
11194,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
111940,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
11199,17643575.2606,16412691.5601,60042691.3596,44255492.0131,20439399.9044,1249063.20624,167581.230414,-354928.570578,-2074571.39458,23376402.3752
111991,5881191.75354,5470897.18671,20014230.4532,14751830.671,6813133.30148,416354.402082,55860.4101381,-118309.523526,-691523.798192,7792134.12507
111992,5881191.75354,5470897.18671,20014230.4532,14751830.671,6813133.30148,416354.402082,55860.4101381,-118309.523526,-691523.798192,7792134.12507
111998,5881191.75354,5470897.18671,20014230.4532,14751830.671,6813133.30148,416354.402082,55860.4101381,-118309.523526,-691523.798192,7792134.12507
112,252036382.812,234453354.942,857702734.34,632184461.583,291974406.699,17842719.9564,2393878.02738,-5070112.59134,-29635006.6498,333929139.121
1121,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
11211,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
112111,7001010.63366,6512593.19283,23825075.9539,17560679.4884,8110400.18607,495631.109901,66496.6118716,-140836.460871,-823194.62916,9275809.42004
112112,7001010.63366,6512593.19283,23825075.9539,17560679.4884,8110400.18607,495631.109901,66496.6118716,-140836.460871,-823194.62916,9275809.42004
11212,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
112120,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
11213,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
112130,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
1122,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
11221,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
112210,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
1123,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
11231,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
112310,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
11232,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
112320,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
11233,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
112330,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
11234,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
112340,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
11239,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
112390,8401212.7604,7815111.8314,28590091.1447,21072815.3861,9732480.22328,594757.331881,79795.9342459,-169003.753045,-987833.554992,11130971.304
1124,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
11241,21003031.901,19537779.5785,71475227.8617,52682038.4653,24331200.5582,1486893.3297,199489.835615,-422509.382612,-2469583.88748,27827428.2601
112410,21003031.901,19537779.5785,71475227.8617,52682038.4653,24331200.5582,1486893.3297,199489.835615,-422509.382612,-2469583.88748,27827428.2601
11242,21003031.901,19537779.5785,71475227.8617,52682038.4653,24331200.5582,1486893.3297,199489.835615,-422509.382612,-2469583.88748,27827428.2601
112420,21003031.901,19537779.5785,71475227.8617,52682038.4653,24331200.5582,1486893.3297,199489.835615,-422509.382612,-2469583.88748,27827428.2601
1125,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
11251,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
112511,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
112512,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
112519,14002021.2673,13025186.3857,47650151.9078,35121358.9769,16220800.3721,991262.219801,132993.223743,-281672.921741,-1646389.25832,18551618.8401
1129,42006063.802,39075559.157,142950455.723,105364076.931,48662401.1164,2973786.6594,398979.67123,-845018.765223,-4939167.77496,55654856.5202
11291,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
112910,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
11292,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
112920,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
11293,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
112930,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
11299,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
112990,10501515.9505,9768889.78925,35737613.9308,26341019.2326,12165600.2791,743446.664851,99744.9178074,-211254.691306,-1234791.94374,13913714.1301
113,71773433.0002,66766242.1388,244251520.556,180029758.367,83146747.6368,5081144.44052,681714.450477,-1443836.72832,-8439282.21992,95094368.6231
1131,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
11311,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
113110,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
1132,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
11321,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
113210,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
1133,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
11331,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
113310,23924477.6667,22255414.0463,81417173.5187,60009919.4556,27715582.5456,1693714.81351,227238.150159,-481278.909442,-2813094.07331,31698122.8744
114,22887792.9646,21291052.458,77889241.187,57409596.6254,26514623.3925,1620323.52524,217391.568875,-460424.348275,-2691198.34659,30324594.0756
1141,11443896.4823,10645526.229,38944620.5935,28704798.3127,13257311.6963,810161.762622,108695.784438,-230212.174137,-1345599.17329,15162297.0378
11411,11443896.4823,10645526.229,38944620.5935,28704798.3127,13257311.6963,810161.762622,108695.784438,-230212.174137,-1345599.17329,15162297.0378
114111,3814632.16076,3548508.74299,12981540.1978,9568266.10423,4419103.89876,270053.920874,36231.9281459,-76737.3913791,-448533.057765,5054099.0126
114112,3814632.16076,3548508.74299,12981540.1978,9568266.10423,4419103.89876,270053.920874,36231.9281459,-76737.3913791,-448533.057765,5054099.0126
114119,3814632.16076,3548508.74299,12981540.1978,9568266.10423,4419103.89876,270053.920874,36231.9281459,-76737.3913791,-448533.057765,5054099.0126
1142,11443896.4823,10645526.229,38944620.5935,28704798.3127,13257311.6963,810161.762622,108695.784438,-230212.174137,-1345599.17329,15162297.0378
11421,11443896.4823,10645526.229,38944620.5935,28704798.3127,13257311.6963,810161.762622,108695.784438,-230212.174137,-1345599.17329,15162297.0378
114210,11443896.4823,10645526.229,38944620.5935,28704798.3127,13257311.6963,810161.762622,108695.784438,-230212.174137,-1345599.17329,15162297.0378
115,57535993.7752,53522061.458,195800219.926,144317899.03,66653224.6611,4073215.98926,546485.192912,-1157428.00004,-6765211.98688,76230838.7999
1151,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
11511,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
115111,3196444.09862,2973447.85878,10877789.9959,8017661.0572,3702956.92562,226289.777181,30360.2884951,-64301.5555577,-375845.110382,4235046.59999
115112,3196444.09862,2973447.85878,10877789.9959,8017661.0572,3702956.92562,226289.777181,30360.2884951,-64301.5555577,-375845.110382,4235046.59999
115113,3196444.09862,2973447.85878,10877789.9959,8017661.0572,3702956.92562,226289.777181,30360.2884951,-64301.5555577,-375845.110382,4235046.59999
115114,3196444.09862,2973447.85878,10877789.9959,8017661.0572,3702956.92562,226289.777181,30360.2884951,-64301.5555577,-375845.110382,4235046.59999
115115,3196444.09862,2973447.85878,10877789.9959,8017661.0572,3702956.92562,226289.777181,30360.2884951,-64301.5555577,-375845.110382,4235046.59999
115116,3196444.09862,2973447.85878,10877789.9959,8017661.0572,3702956.92562,226289.777181,30360.2884951,-64301.5555577,-375845.110382,4235046.59999
1152,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
11521,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
115210,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
1153,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
11531,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
115310,19178664.5917,17840687.1527,65266739.9754,48105966.3432,22217741.5537,1357738.66309,182161.730971,-385809.333346,-2255070.66229,25410279.6
21,-9826850069.89,14391051000.0,-960296000.0,7143217069.89,-4060626000.0,8900269930.11,-91322000.0,267117930.111,-1180524930.11,1812734000.0
211,-8505704366.15,12456282985.2,-831191462.361,6182865535.5,-3514705531.46,7703695921.48,-79044447.468,231205943.742,-1021812277.69,1569025617.45
2111,-8505704366.15,12456282985.2,-831191462.361,6182865535.5,-3514705531.46,7703695921.48,-79044447.468,231205943.742,-1021812277.69,1569025617.45
21111,-8505704366.15,12456282985.2,-831191462.361,6182865535.5,-3514705531.46,7703695921.48,-79044447.468,231205943.742,-1021812277.69,1569025617.45
211111,-4252852183.07,6228141492.62,-415595731.18,3091432767.75,-1757352765.73,3851847960.74,-39522223.734,115602971.871,-510906138.843,784512808.723
211112,-4252852183.07,6228141492.62,-415595731.18,3091432767.75,-1757352765.73,3851847960.74,-39522223.734,115602971.871,-510906138.843,784512808.723
212,-689281681.335,1009427004.47,-67357742.9951,501044448.328,-284823223.784,624288859.414,-6405570.58011,18736369.7087,-82805192.1926,127150035.917
2121,-229760560.445,336475668.158,-22452580.9984,167014816.109,-94941074.5948,208096286.471,-2135190.19337,6245456.56958,-27601730.7309,42383345.3055
21211,-229760560.445,336475668.158,-22452580.9984,167014816.109,-94941074.5948,208096286.471,-2135190.19337,6245456.56958,-27601730.7309,42383345.3055
212111,-76586853.4816,112158556.053,-7484193.66612,55671605.3698,-31647024.8649,69365428.8238,-711730.064457,2081818.85653,-9200576.91029,14127781.7685
212112,-76586853.4816,112158556.053,-7484193.66612,55671605.3698,-31647024.8649,69365428.8238,-711730.064457,2081818.85653,-9200576.91029,14127781.7685
212113,-76586853.4816,112158556.053,-7484193.66612,55671605.3698,-31647024.8649,69365428.8238,-711730.064457,2081818.85653,-9200576.91029,14127781.7685
2122,-229760560.445,336475668.158,-22452580.9984,167014816.109,-94941074.5948,208096286.471,-2135190.19337,6245456.56958,-27601730.7309,42383345.3055
21221,-57440140.1112,84118917.0394,-5613145.24959,41753704.0274,-23735268.6487,52024071.6178,-533797.548343,1561364.14239,-6900432.68271,10595836.3264
212210,-57440140.1112,84118917.0394,-5613145.24959,41753704.0274,-23735268.6487,52024071.6178,-533797.548343,1561364.14239,-6900432.68271,10595836.3264
21222,-57440140.1112,84118917.0394,-5613145.24959,41753704.0274,-23735268.6487,52024071.6178,-533797.548343,1561364.14239,-6900432.68271,10595836.3264
212221,-28720070.0556,42059458.5197,-2806572.6248,20876852.0137,-11867634.3244,26012035.8089,-266898.774171,780682.071197,-3450216.34136,5297918.16319
212222,-28720070.0556,42059458.5197,-2806572.6248,20876852.0137,-11867634.3244,26012035.8089,-266898.774171,780682.071197,-3450216.34136,5297918.16319
21223,-57440140.1112,84118917.0394,-5613145.24959,41753704.0274,-23735268.6487,52024071.6178,-533797.548343,1561364.14239,-6900432.68271,10595836.3264
212231,-28720070.0556,42059458.5197,-2806572.6248,20876852.0137,-11867634.3244,26012035.8089,-266898.774171,780682.071197,-3450216.34136,5297918.16319
212234,-28720070.0556,42059458.5197,-2806572.6248,20876852.0137,-11867634.3244,26012035.8089,-266898.774171,780682.071197,-3450216.34136,5297918.16319
21229,-57440140.1112,84118917.0394,-5613145.24959,41753704.0274,-23735268.6487,52024071.6178,-533797.548343,1561364.14239,-6900432.68271,10595836.3264
212291,-28720070.0556,42059458.5197,-2806572.6248,20876852.0137,-11867634.3244,26012035.8089,-266898.774171,780682.071197,-3450216.34136,5297918.16319
212299,-28720070.0556,42059458.5197,-2806572.6248,20876852.0137,-11867634.3244,26012035.8089,-266898.774171,780682.071197,-3450216.34136,5297918.16319
2123,-229760560.445,336475668.158,-22452580.9984,167014816.109,-94941074.5948,208096286.471,-2135190.19337,6245456.56958,-27601730.7309,42383345.3055
21231,-76586853.4816,112158556.053,-7484193.66612,55671605.3698,-31647024.8649,69365428.8238,-711730.064457,2081818.85653,-9200576.91029,14127781.7685
212311,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212312,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212313,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212319,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
21232,-76586853.4816,112158556.053,-7484193.66612,55671605.3698,-31647024.8649,69365428.8238,-711730.064457,2081818.85653,-9200576.91029,14127781.7685
212321,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212322,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212324,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212325,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
21239,-76586853.4816,112158556.053,-7484193.66612,55671605.3698,-31647024.8649,69365428.8238,-711730.064457,2081818.85653,-9200576.91029,14127781.7685
212391,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212392,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212393,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
212399,-19146713.3704,28039639.0131,-1871048.41653,13917901.3425,-7911756.21623,17341357.2059,-177932.516114,520454.714132,-2300144.22757,3531945.44213
213,-631864022.408,925341010.279,-61746794.6439,459307086.056,-261097244.753,572285149.214,-5871981.95189,17175616.6602,-75907460.2327,116558346.637
2131,-631864022.408,925341010.279,-61746794.6439,459307086.056,-261097244.753,572285149.214,-5871981.95189,17175616.6602,-75907460.2327,116558346.637
21311,-631864022.408,925341010.279,-61746794.6439,459307086.056,-261097244.753,572285149.214,-5871981.95189,17175616.6602,-75907460.2327,116558346.637
213111,-126372804.482,185068202.056,-12349358.9288,91861417.2112,-52219448.9507,114457029.843,-1174396.39038,3435123.33203,-15181492.0465,23311669.3274
213112,-126372804.482,185068202.056,-12349358.9288,91861417.2112,-52219448.9507,114457029.843,-1174396.39038,3435123.33203,-15181492.0465,23311669.3274
213113,-126372804.482,185068202.056,-12349358.9288,91861417.2112,-52219448.9507,114457029.843,-1174396.39038,3435123.33203,-15181492.0465,23311669.3274
213114,-126372804.482,185068202.056,-12349358.9288,91861417.2112,-52219448.9507,114457029.843,-1174396.39038,3435123.33203,-15181492.0465,23311669.3274
213115,-126372804.482,185068202.056,-12349358.9288,91861417.2112,-52219448.9507,114457029.843,-1174396.39038,3435123.33203,-15181492.0465,23311669.3274
22,467945973.512,-3900180000.0,226068000.0,144236026.488,555447000.0,1202169973.51,0.0,83382973.5119,39503026.4881,-484868000.0
221,467945973.512,-3900180000.0,226068000.0,144236026.488,555447000.0,1202169973.51,0.0,83382973.5119,39503026.4881,-484868000.0
2212,467945973.512,-3900180000.0,226068000.0,144236026.488,555447000.0,1202169973.51,0.0,83382973.5119,39503026.4881,-484868000.0
22121,467945973.512,-3900180000.0,226068000.0,144236026.488,555447000.0,1202169973.51,0.0,83382973.5119,39503026.4881,-484868000.0
221210,467945973.512,-3900180000.0,226068000.0,144236026.488,555447000.0,1202169973.51,0.0,83382973.5119,39503026.4881,-484868000.0
23,2320818980.83,1224345000.0,1231618000.0,5678742019.17,368590000.0,228056980.833,0.0,-129346019.167,118162019.167,275560000.0
236,964253307.677,508690563.865,511712348.142,2359402357.81,153141683.868,94753059.1241,0.0,-53740652.6948,49093927.0854,114489602.015
2361,482126653.838,254345281.932,255856174.071,1179701178.9,76570841.9338,47376529.562,0.0,-26870326.3474,24546963.5427,57244801.0073
23611,482126653.838,254345281.932,255856174.071,1179701178.9,76570841.9338,47376529.562,0.0,-26870326.3474,24546963.5427,57244801.0073
236115,120531663.46,63586320.4831,63964043.5177,294925294.726,19142710.4834,11844132.3905,0.0,-6717581.58685,6136740.88567,14311200.2518
