                       2016         2017         2018         2019  \
GDP                   0.011        0.012        0.012        0.013   
Consumption           0.003        0.004        0.005        0.006   
Investment            0.030        0.030        0.029        0.028   
Hours Worked          0.017        0.017        0.016        0.016   
Wages                -0.006       -0.005       -0.004       -0.003   
Interest Rates        0.023        0.019        0.016        0.013   
Total Taxes          -0.125       -0.125       -0.125       -0.125   

                       2020         2021         2022         2023  \
GDP                   0.013        0.013        0.014        0.014   
Consumption           0.007        0.007        0.008        0.009   
Investment            0.028        0.027        0.027        0.026   
Hours Worked          0.016        0.015        0.015        0.015   
Wages                -0.003       -0.002       -0.001       -0.001   
Interest Rates        0.010        0.007        0.005        0.003   
Total Taxes          -0.125       -0.125       -0.125       -0.125   

                       2024         2025    2016-2025  Steady State  
GDP                   0.014        0.014        0.013         0.017  
Consumption           0.009        0.010        0.007         0.014  
Investment            0.026        0.026        0.028         0.023  
Hours Worked          0.014        0.014        0.015         0.013  
Wages                -0.000        0.000       -0.003         0.003  
Interest Rates        0.001       -0.001        0.010        -0.014  
Total Taxes          -0.124       -0.124       -0.125        -0.110  
