                       2016         2017         2018         2019  \
GDP                   0.005        0.006        0.006        0.006
Consumption           0.002        0.002        0.003        0.003
Investment            0.014        0.014        0.013        0.013
Hours Worked          0.008        0.008        0.008        0.007
Wages                -0.003       -0.002       -0.002       -0.002
Interest Rates        0.011        0.009        0.008        0.006
Total Taxes          -0.038       -0.037       -0.037       -0.037

                       2020         2021         2022         2023  \
GDP                   0.006        0.006        0.006        0.006
Consumption           0.003        0.004        0.004        0.004
Investment            0.012        0.012        0.012        0.012
Hours Worked          0.007        0.007        0.007        0.007
Wages                -0.001       -0.001       -0.001       -0.000
Interest Rates        0.005        0.004        0.003        0.002
Total Taxes          -0.037       -0.036       -0.036       -0.036

                       2024         2025    2016-2025  Steady State
GDP                   0.006        0.007        0.006         0.007
Consumption           0.004        0.005        0.003         0.006
Investment            0.011        0.011        0.012         0.010
Hours Worked          0.007        0.007        0.007         0.006
Wages                -0.000       -0.000       -0.001         0.001
Interest Rates        0.001        0.000        0.005        -0.005
Total Taxes          -0.036       -0.036       -0.037        -0.034
