NAICS,All,Corp,Non-Corp
[[1]],0.023159865019653499,0.021873984082451892,0.025708947547765343
[[11]],0.018861002215924346,0.018861002215924346,0.018861002215924353
[[111]],0.032064885895558851,0.032064885895558851,0.032064885895558844
[[1111]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11111]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111110]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11112]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111120]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11113]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111130]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11114]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111140]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11115]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111150]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11116]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111160]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11119]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111191]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111199]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[1112]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11121]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111211]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111219]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[1113]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11131]],0.032064885895558858,0.032064885895558864,0.032064885895558864
[[111310]],0.032064885895558858,0.032064885895558864,0.032064885895558864
[[11132]],0.032064885895558858,0.032064885895558864,0.032064885895558864
[[111320]],0.032064885895558858,0.032064885895558864,0.032064885895558864
[[11133]],0.032064885895558858,0.032064885895558864,0.032064885895558864
[[111331]],0.032064885895558844,0.032064885895558864,0.032064885895558864
[[111332]],0.032064885895558844,0.032064885895558864,0.032064885895558864
[[111333]],0.032064885895558844,0.032064885895558864,0.032064885895558864
[[111334]],0.032064885895558844,0.032064885895558864,0.032064885895558864
[[111335]],0.032064885895558844,0.032064885895558864,0.032064885895558864
[[111336]],0.032064885895558844,0.032064885895558864,0.032064885895558864
[[111339]],0.032064885895558844,0.032064885895558864,0.032064885895558864
[[1114]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11141]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111411]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111419]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11142]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111421]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[111422]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[1119]],0.032064885895558864,0.032064885895558864,0.032064885895558864
[[11191]],0.032064885895558864,0.032064885895558864,0.032064885895558871
[[111910]],0.032064885895558864,0.032064885895558864,0.032064885895558871
[[11192]],0.032064885895558864,0.032064885895558864,0.032064885895558871
