NAICS,Mainframes,PCs,DASDs,Printers,Terminals,Tape drives,Storage devices,System integrators,Communications,Nonelectro medical instruments,Electro medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metals,Steam engines,Internal combustion engines,Metalworking machinery,Special industrial machinery,General industrial equipment,Electric transmission and distribution,Light trucks (including utility vehicles),"Other trucks, buses and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,Other electrical,Other,Office,Hospitals,Special care,Medical buildings,Multimerchandise shopping,Food and beverage establishments,Warehouses,Mobile structures,Other commercial,Manufacturing,Electric,Wind and solar,Gas,Petroleum pipelines,Communication,Petroleum and natural gas,Mining,Religious,Educational and vocational,Lodging,Amusement and recreation,Air transportation,Other transportation,Other railroad,Track replacement,Local transit structures,Other land transportation,Farm,Water supply,Sewage and waste disposal,Public safety,Highway and conservation and development,Prepackaged software,Custom software,Own account software,Pharmaceutical and medicine manufacturing,"Chemical manufacturing, ex. pharma and med",Semiconductor and other component manufacturing,Computers and peripheral equipment manufacturing,Communications equipment manufacturing,Navigational and other instruments manufacturing,"Other computer and electronic manufacturing, n.e.c.",Motor vehicles and parts manufacturing,Aerospace products and parts manufacturing,Other manufacturing,Scientific research and development services,Software publishers,Financial and real estate services,Computer systems design and related services,"All other nonmanufacturing, n.e.c.",Private universities and colleges,Other nonprofit institutions,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals
[[1]],17466879975,46602257916,0,7634458838,10344884253,0,7162363227,23666323727,4.6245E+11,90981904147,52849931714,97515963332,22251264967,6402202862,5803896113,1.11338E+11,83682379426,11022544400,2.13531E+11,2.71155E+11,4.43901E+11,3.83714E+11,1.61941E+11,1.01267E+11,1.37649E+11,2.71558E+11,46389372737,1.03912E+11,8372160999,1.50129E+11,41393182981,21182246405,1.0992E+11,9819275782,69092145083,81209335963,2544956424,15480931264,1.8373E+11,1.00882E+12,1.66293E+11,34527946923,89247601317,2.41233E+11,1.24847E+11,2.27569E+11,3951359863,2.17957E+11,1.02382E+12,9.44254E+11,1.08356E+11,3.11559E+11,78161759643,5.49559E+11,7.07139E+11,70504405883,63551443541,2.18436E+11,1.44373E+11,1.18998E+11,27727608087,1989189178,79912889653,82785442187,7123065824,5906329764,94084347225,36559376125,36420021369,11045679423,19428204476,64518238056,1.80395E+11,1.82362E+11,0,54927076629,0,9164846269,36779696455,29518650644,1567436960,40722780316,0,0,0,19098939949,6419289952,6658942014,0,0,0,1.22389E+11,0,58027045860,0,
[[11]],1720817.986,44746838.18,0,11575370.54,9345517.451,0,4465276.711,32175365.57,184698149.5,18198711.4,9528089.063,11928452587,3402956.237,1488425.57,0,1073100631,-2.23E-07,90341572.02,84830372.44,87147156.07,1460984437,204376343.4,3368490452,1353408019,1226029750,77619067,413193716,1.11E-07,0,231840386.8,38761360597,12514191165,1468424285,46362444.03,1161962.081,90003967.47,0,10889334.36,7638283438,887041852.6,0,929569.6647,-1.11E-07,-4.45E-07,1.11E-07,769683682.4,93654143.72,154076171.9,529854708.9,3021101.41,1636759814,232392.4162,464784.8324,-4.45E-07,0,0,0,-2.23E-07,-2.23E-07,0,2.78E-08,38577141.09,0,0,0,136646740.7,85197591479,351609725.7,156167703.7,498481732.7,777352632.1,59697626.29,29253905.77,979390.4682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111]],309605.5781,9597772.921,0,619211.1562,928816.7342,0,928816.7342,3405661.359,62540326.77,7120928.296,4.07E-08,11180476636,2786450.203,309605.5781,0,957300447.4,-1.62E-07,73995733.16,66565199.29,0,446451243.6,157898844.8,3024846498,1098170985,1116437715,0,-1.30E-07,8.10E-08,0,53252159.43,32943271930,11598444166,124461442.4,6501717.14,0,70590071.8,0,3715266.937,6809465084,-6.08E-07,0,-8.48E-11,-8.10E-08,-3.24E-07,8.10E-08,-8.68E-08,0,0,6.08E-07,6.48E-07,1516757727,3.24E-07,-2.43E-07,-3.24E-07,0,0,0,-1.62E-07,-1.62E-07,0,2.03E-08,-5.42E-09,0,0,0,-2.17E-08,80783835461,0,6.51E-08,0,0,18266729.11,5263294.827,928816.7342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[1111]],61921.11562,1919554.584,0,123842.2312,185763.3468,0,185763.3468,681132.2718,12508065.35,1424185.659,8.14E-09,2236095327,557290.0405,61921.11562,0,191460089.5,-3.24E-08,14799146.63,13313039.86,0,89290248.72,31579768.96,604969299.6,219634197.1,223287542.9,0,-2.60E-08,1.62E-08,0,10650431.89,6588654386,2319688833,24892288.48,1300343.428,0,14118014.36,0,743053.3874,1361893017,-1.22E-07,0,-1.70E-11,-1.62E-08,-6.48E-08,1.62E-08,-1.74E-08,0,0,1.22E-07,1.30E-07,303351545.4,6.48E-08,-4.86E-08,-6.48E-08,0,0,0,-3.24E-08,-3.24E-08,0,4.05E-09,-1.08E-09,0,0,0,-4.34E-09,16156767092,0,1.30E-08,0,0,3653345.821,1052658.965,185763.3468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[11111]],8845.87366,274222.0834,0,17691.74732,26537.62098,0,26537.62098,97304.61025,1786866.479,203455.0942,1.16E-09,319442189.6,79612.86294,8845.87366,0,27351441.36,-4.63E-09,2114163.805,1901862.837,0,12755749.82,4511395.566,86424185.65,31376313.87,31898220.42,0,-3.72E-09,2.31E-09,0,1521490.269,941236340.9,331384119,3556041.211,185763.3468,0,2016859.194,0,106150.4839,194556145.3,-1.74E-08,0,-2.42E-12,-2.31E-09,-9.26E-09,2.31E-09,-2.48E-09,0,0,1.74E-08,1.85E-08,43335935.06,9.26E-09,-6.94E-09,-9.26E-09,0,0,0,-4.63E-09,-4.63E-09,0,5.79E-10,-1.55E-10,0,0,0,-6.20E-10,2308109585,0,1.86E-09,0,0,521906.5459,150379.8522,26537.62098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111110]],8845.87366,274222.0834,0,17691.74732,26537.62098,0,26537.62098,97304.61025,1786866.479,203455.0942,1.16E-09,319442189.6,79612.86294,8845.87366,0,27351441.36,-4.63E-09,2114163.805,1901862.837,0,12755749.82,4511395.566,86424185.65,31376313.87,31898220.42,0,-3.72E-09,2.31E-09,0,1521490.269,941236340.9,331384119,3556041.211,185763.3468,0,2016859.194,0,106150.4839,194556145.3,-1.74E-08,0,-2.42E-12,-2.31E-09,-9.26E-09,2.31E-09,-2.48E-09,0,0,1.74E-08,1.85E-08,43335935.06,9.26E-09,-6.94E-09,-9.26E-09,0,0,0,-4.63E-09,-4.63E-09,0,5.79E-10,-1.55E-10,0,0,0,-6.20E-10,2308109585,0,1.86E-09,0,0,521906.5459,150379.8522,26537.62098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[11112]],8845.87366,274222.0834,0,17691.74732,26537.62098,0,26537.62098,97304.61025,1786866.479,203455.0942,1.16E-09,319442189.6,79612.86294,8845.87366,0,27351441.36,-4.63E-09,2114163.805,1901862.837,0,12755749.82,4511395.566,86424185.65,31376313.87,31898220.42,0,-3.72E-09,2.31E-09,0,1521490.269,941236340.9,331384119,3556041.211,185763.3468,0,2016859.194,0,106150.4839,194556145.3,-1.74E-08,0,-2.42E-12,-2.31E-09,-9.26E-09,2.31E-09,-2.48E-09,0,0,1.74E-08,1.85E-08,43335935.06,9.26E-09,-6.94E-09,-9.26E-09,0,0,0,-4.63E-09,-4.63E-09,0,5.79E-10,-1.55E-10,0,0,0,-6.20E-10,2308109585,0,1.86E-09,0,0,521906.5459,150379.8522,26537.62098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111120]],8845.87366,274222.0834,0,17691.74732,26537.62098,0,26537.62098,97304.61025,1786866.479,203455.0942,1.16E-09,319442189.6,79612.86294,8845.87366,0,27351441.36,-4.63E-09,2114163.805,1901862.837,0,12755749.82,4511395.566,86424185.65,31376313.87,31898220.42,0,-3.72E-09,2.31E-09,0,1521490.269,941236340.9,331384119,3556041.211,185763.3468,0,2016859.194,0,106150.4839,194556145.3,-1.74E-08,0,-2.42E-12,-2.31E-09,-9.26E-09,2.31E-09,-2.48E-09,0,0,1.74E-08,1.85E-08,43335935.06,9.26E-09,-6.94E-09,-9.26E-09,0,0,0,-4.63E-09,-4.63E-09,0,5.79E-10,-1.55E-10,0,0,0,-6.20E-10,2308109585,0,1.86E-09,0,0,521906.5459,150379.8522,26537.62098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[11113]],8845.87366,274222.0834,0,17691.74732,26537.62098,0,26537.62098,97304.61025,1786866.479,203455.0942,1.16E-09,319442189.6,79612.86294,8845.87366,0,27351441.36,-4.63E-09,2114163.805,1901862.837,0,12755749.82,4511395.566,86424185.65,31376313.87,31898220.42,0,-3.72E-09,2.31E-09,0,1521490.269,941236340.9,331384119,3556041.211,185763.3468,0,2016859.194,0,106150.4839,194556145.3,-1.74E-08,0,-2.42E-12,-2.31E-09,-9.26E-09,2.31E-09,-2.48E-09,0,0,1.74E-08,1.85E-08,43335935.06,9.26E-09,-6.94E-09,-9.26E-09,0,0,0,-4.63E-09,-4.63E-09,0,5.79E-10,-1.55E-10,0,0,0,-6.20E-10,2308109585,0,1.86E-09,0,0,521906.5459,150379.8522,26537.62098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
[[111130]],8845.87366,274222.0834,0,17691.74732,26537.62098,0,26537.62098,97304.61025,1786866.479,203455.0942,1.16E-09,319442189.6,79612.86294,8845.87366,0,27351441.36,-4.63E-09,2114163.805,1901862.837,0,12755749.82,4511395.566,86424185.65,31376313.87,31898220.42,0,-3.72E-09,2.31E-09,0,1521490.269,941236340.9,331384119,3556041.211,185763.3468,0,2016859.194,0,106150.4839,194556145.3,-1.74E-08,0,-2.42E-12,-2.31E-09,-9.26E-09,2.31E-09,-2.48E-09,0,0,1.74E-08,1.85E-08,43335935.06,9.26E-09,-6.94E-09,-9.26E-09,0,0,0,-4.63E-09,-4.63E-09,0,5.79E-10,-1.55E-10,0,0,0,-6.20E-10,2308109585,0,1.86E-09,0,0,521906.5459,150379.8522,26537.62098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
