"Table 1.  Nonfarm Sole Proprietorships: Business Receipts, Selected Deductions, 
Payroll, and Net Income, by Industrial Sectors, Tax Year 2012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[All figures are estimates based on samples--money amounts are in thousands of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial sector,Businesses with and without net income,,,,,,,,Businesses with net income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Number
of returns","Business
receipts","Depreciation
deduction [1,2]","Rent paid
on machinery
and
equipment [1]","Rent paid
on other
business
property [1]","Interest paid
deduction [1,3]","Payroll [1,4]","Net income
less deficit","Number
of returns","Business
receipts","Depreciation
deduction [1,2]","Rent paid
on machinery
and
equipment [1]","Rent paid
on other
business
property [1]","Interest paid
deduction [1,3]","Payroll [1,4]","Net income
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),(15),(16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      All nonfarm industries,"23,553,850","1,301,569,749","35,581,830","8,754,711","34,370,947","9,357,479","110,371,136","304,895,911","17,570,854","1,111,641,923","23,228,451","6,745,175","27,014,243","5,802,818","88,481,385","357,074,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture, forestry, hunting, and fishing","300,083","20,908,373","1,615,083","180,780","176,861","211,594","1,738,455","1,488,488","189,924","16,849,825","929,892","137,687","109,772","131,088","1,306,925","3,165,333",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Animal production (including breeding of cats and dogs),"48,084","1,331,354","178,370","1,498","27,085","17,363","74,969","-405,483","20,392","952,904","30,701",* 726,"* 2,062","* 6,209","* 59,878","174,289",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Forestry and logging (including forest nurseries, timber tracts)","46,133","4,984,574","417,402","92,323","11,037","59,499","460,337","216,984","30,969","3,883,734","290,005","67,442","6,374","42,383","261,031","470,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"   Fishing, hunting, and trapping","68,362","3,128,164","346,946","17,624","57,507","41,637","107,125","524,787","37,861","2,543,823","129,708","13,313","45,243","17,209","72,538","917,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Support activities for agriculture and forestry,"137,504","11,464,281","672,366","69,335","81,231","93,096","1,096,024","1,152,200","100,702","9,469,365","479,477","56,206","56,093","65,286","913,478","1,603,349",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mining,"110,908","14,092,831","1,095,347","66,359","85,177","158,452","1,146,622","1,246,455","74,419","10,782,853","602,305","42,133","53,072","73,741","878,434","2,988,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Oil and gas extraction,"89,771","10,064,375","857,936","27,987","56,295","120,005","597,957","495,489","59,585","7,456,997","431,873","17,990","30,220","48,762","452,931","2,089,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
